GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid
,0,30,30,17,4,4,7,
"DC Tract 1, block group 1",0,23,23,17,0,3,1,110010001001
"DC Tract 1, block group 2",0,16,16,13,0,0,1,110010001002
"DC Tract 1, block group 3",0,8,8,6,0,0,0,110010001003
"DC Tract 1, block group 4",0,27,27,18,1,3,6,110010001004
"DC Tract 2.02, block group 1",0,9,9,7,2,0,0,110010002021
"DC Tract 2.02, block group 2",0,7,7,5,0,0,0,110010002022
"DC Tract 2.02, block group 3",0,11,11,9,0,0,0,110010002023
"DC Tract 2.02, block group 4",0,11,11,9,0,0,0,110010002024
"DC Tract 3, block group 1",0,16,16,15,0,1,0,110010003001
"DC Tract 3, block group 2",0,20,20,15,1,1,0,110010003002
"DC Tract 3, block group 3",0,20,20,14,0,2,4,110010003003
"DC Tract 3, block group 4",0,29,29,23,0,4,4,110010003004
"DC Tract 4, block group 1",0,4,4,4,0,0,1,110010004001
"DC Tract 4, block group 2",0,11,11,9,2,2,2,110010004002
"DC Tract 5.01, block group 1",0,13,13,9,0,0,0,110010005011
"DC Tract 5.01, block group 2",0,16,16,9,1,1,3,110010005012
"DC Tract 5.02, block group 1",0,20,20,14,0,1,1,110010005021
"DC Tract 5.02, block group 2",0,13,13,12,0,0,0,110010005022
"DC Tract 6, block group 1",0,12,12,9,0,1,0,110010006001
"DC Tract 6, block group 2",0,7,7,7,0,0,0,110010006002
"DC Tract 6, block group 3",0,7,7,7,0,0,0,110010006003
"DC Tract 6, block group 4",0,18,18,15,0,0,0,110010006004
"DC Tract 7.01, block group 1",0,8,8,6,0,0,1,110010007011
"DC Tract 7.01, block group 2",0,25,25,17,1,1,3,110010007012
"DC Tract 7.01, block group 3",0,7,7,7,0,0,0,110010007013
"DC Tract 7.01, block group 4",0,11,11,7,1,1,0,110010007014
"DC Tract 7.02, block group 1",0,17,17,12,1,0,0,110010007021
"DC Tract 7.02, block group 2",0,12,12,8,0,0,0,110010007022
"DC Tract 7.02, block group 3",0,12,12,11,0,2,2,110010007023
"DC Tract 8.01, block group 1",0,13,13,11,0,1,1,110010008011
"DC Tract 8.01, block group 2",0,7,7,6,0,1,0,110010008012
"DC Tract 8.01, block group 3",0,17,17,12,1,1,2,110010008013
"DC Tract 8.01, block group 4",0,5,5,5,0,0,1,110010008014
"DC Tract 8.02, block group 1",0,26,26,22,0,3,0,110010008021
"DC Tract 8.02, block group 2",0,14,14,9,1,2,3,110010008022
"DC Tract 9.01, block group 1",0,12,12,9,0,1,3,110010009011
"DC Tract 9.01, block group 2",0,10,10,9,0,0,0,110010009012
"DC Tract 9.01, block group 3",0,13,13,10,0,0,1,110010009013
"DC Tract 9.02, block group 1",0,8,8,7,0,0,0,110010009021
"DC Tract 9.02, block group 2",0,8,8,8,0,0,1,110010009022
"DC Tract 10.01, block group 1",0,9,9,8,0,0,0,110010010011
"DC Tract 10.01, block group 2",0,17,17,13,0,1,3,110010010012
"DC Tract 10.01, block group 3",0,14,14,12,0,0,1,110010010013
"DC Tract 10.01, block group 4",0,14,14,13,0,1,0,110010010014
"DC Tract 10.01, block group 5",0,12,12,8,0,0,2,110010010015
"DC Tract 10.01, block group 6",0,15,15,8,1,0,0,110010010016
"DC Tract 10.02, block group 1",0,5,5,3,1,1,1,110010010021
"DC Tract 10.02, block group 2",0,24,24,22,0,0,1,110010010022
"DC Tract 10.02, block group 3",0,9,9,8,0,0,0,110010010023
"DC Tract 11, block group 1",0,15,15,13,1,1,2,110010011001
"DC Tract 11, block group 2",0,23,23,19,0,4,3,110010011002
"DC Tract 11, block group 3",0,9,9,9,0,0,0,110010011003
"DC Tract 11, block group 4",0,10,10,9,0,0,0,110010011004
"DC Tract 12, block group 1",0,21,21,18,2,0,0,110010012001
"DC Tract 12, block group 2",0,10,10,9,0,0,0,110010012002
"DC Tract 12, block group 3",0,7,7,5,1,1,0,110010012003
"DC Tract 12, block group 4",0,16,16,11,1,0,1,110010012004
"DC Tract 13.01, block group 1",0,18,18,15,0,0,0,110010013011
"DC Tract 13.01, block group 2",0,4,4,3,0,0,0,110010013012
"DC Tract 13.01, block group 3",0,12,12,8,0,0,1,110010013013
"DC Tract 13.02, block group 1",0,14,14,9,1,0,1,110010013021
"DC Tract 13.02, block group 2",0,35,35,25,5,1,1,110010013022
"DC Tract 13.02, block group 3",0,11,11,10,0,1,0,110010013023
"DC Tract 14.01, block group 1",0,17,17,14,3,2,1,110010014011
"DC Tract 14.01, block group 2",0,12,12,11,0,0,0,110010014012
"DC Tract 14.02, block group 1",0,17,17,14,0,1,1,110010014021
"DC Tract 14.02, block group 2",0,6,6,5,0,1,2,110010014022
"DC Tract 14.02, block group 3",0,16,16,13,0,0,0,110010014023
"DC Tract 15, block group 1",0,8,8,7,0,0,0,110010015001
"DC Tract 15, block group 2",0,8,8,7,0,1,1,110010015002
"DC Tract 15, block group 3",0,7,7,7,0,1,1,110010015003
"DC Tract 15, block group 4",0,10,10,6,0,0,0,110010015004
"DC Tract 15, block group 5",0,14,14,12,0,0,0,110010015005
"DC Tract 16, block group 1",0,6,6,3,0,0,1,110010016001
"DC Tract 16, block group 2",0,13,13,8,0,1,2,110010016002
"DC Tract 16, block group 3",0,8,8,3,0,1,1,110010016003
"DC Tract 16, block group 4",0,14,14,11,0,2,1,110010016004
"DC Tract 17.02, block group 1",0,23,23,19,0,0,1,110010017021
"DC Tract 17.02, block group 2",0,15,15,11,1,1,1,110010017022
