MHLTH_CrudePrev,geo2010,geoid
6.9,11001000100,11001000100
19.4,11001000201,11001000201
9.8,11001000202,11001000202
8.9,11001000300,11001000300
7.7,11001000400,11001000400
7.8,11001000501,11001000501
7.2,11001000502,11001000502
7.4,11001000600,11001000600
7.6,11001000701,11001000701
8.6,11001000702,11001000702
8.4,11001000801,11001000801
8,11001000802,11001000802
10,11001000901,11001000901
7.3,11001000902,11001000902
7.5,11001001001,11001001001
10.9,11001001002,11001001002
6.9,11001001100,11001001100
7.5,11001001200,11001001200
7,11001001301,11001001301
7.8,11001001302,11001001302
7.3,11001001401,11001001401
7.9,11001001402,11001001402
6.7,11001001500,11001001500
7,11001001600,11001001600
9.8,11001001702,11001001702
12.3,11001001803,11001001803
13.1,11001001804,11001001804
10.5,11001001901,11001001901
9.7,11001001902,11001001902
11.3,11001002001,11001002001
11,11001002002,11001002002
12.5,11001002101,11001002101
10.4,11001002102,11001002102
10.4,11001002201,11001002201
13.7,11001002202,11001002202
10.4,11001002301,11001002301
7.9,11001002302,11001002302
10.7,11001002400,11001002400
12,11001002501,11001002501
11.6,11001002502,11001002502
7.4,11001002600,11001002600
10,11001002701,11001002701
10.1,11001002702,11001002702
12.9,11001002801,11001002801
13.1,11001002802,11001002802
9.5,11001002900,11001002900
11.3,11001003000,11001003000
12.2,11001003100,11001003100
13.1,11001003200,11001003200
8.3,11001003301,11001003301
9.6,11001003302,11001003302
12.6,11001003400,11001003400
12.7,11001003500,11001003500
10,11001003600,11001003600
11.7,11001003700,11001003700
9.4,11001003800,11001003800
7.9,11001003900,11001003900
7.6,11001004001,11001004001
7.3,11001004002,11001004002
6.9,11001004100,11001004100
7.6,11001004201,11001004201
7.5,11001004202,11001004202
9.1,11001004300,11001004300
8.2,11001004400,11001004400
11,11001004600,11001004600
13.7,11001004701,11001004701
9.6,11001004702,11001004702
9.6,11001004801,11001004801
11.8,11001004802,11001004802
12.5,11001004901,11001004901
11.3,11001004902,11001004902
8.3,11001005001,11001005001
10.9,11001005002,11001005002
8,11001005201,11001005201
7.5,11001005301,11001005301
8.3,11001005500,11001005500
9.8,11001005600,11001005600
8.4,11001005800,11001005800
8.8,11001005900,11001005900
18.3,11001006400,11001006400
8.1,11001006500,11001006500
7.1,11001006600,11001006600
7.4,11001006700,11001006700
10.3,11001006801,11001006801
9.5,11001006802,11001006802
23.4,11001006804,11001006804
8.5,11001006900,11001006900
8.9,11001007000,11001007000
12.4,11001007100,11001007100
9.2,11001007200,11001007200
10.5,11001007301,11001007301
16.7,11001007304,11001007304
22.9,11001007401,11001007401
18.1,11001007403,11001007403
18.8,11001007404,11001007404
17.1,11001007406,11001007406
15.9,11001007407,11001007407
20,11001007408,11001007408
17.9,11001007409,11001007409
17.8,11001007502,11001007502
17.2,11001007503,11001007503
19.1,11001007504,11001007504
14.1,11001007601,11001007601
12.5,11001007603,11001007603
11.9,11001007604,11001007604
14.3,11001007605,11001007605
19.1,11001007703,11001007703
14.2,11001007707,11001007707
17.4,11001007708,11001007708
15.3,11001007709,11001007709
14,11001007803,11001007803
15.5,11001007804,11001007804
15.3,11001007806,11001007806
14.9,11001007807,11001007807
15,11001007808,11001007808
14.4,11001007809,11001007809
14.9,11001007901,11001007901
11.8,11001007903,11001007903
8.6,11001008001,11001008001
8.8,11001008002,11001008002
7.9,11001008100,11001008100
8.2,11001008200,11001008200
7.7,11001008301,11001008301
8.3,11001008302,11001008302
9.5,11001008402,11001008402
8.9,11001008410,11001008410
10.8,11001008701,11001008701
13.1,11001008702,11001008702
12.8,11001008802,11001008802
18,11001008803,11001008803
14.4,11001008804,11001008804
15.8,11001008903,11001008903
15.5,11001008904,11001008904
11.6,11001009000,11001009000
14.1,11001009102,11001009102
12.3,11001009201,11001009201
11.4,11001009203,11001009203
16,11001009204,11001009204
9.9,11001009301,11001009301
11.2,11001009302,11001009302
10.7,11001009400,11001009400
15.5,11001009501,11001009501
8.5,11001009503,11001009503
11,11001009504,11001009504
10.1,11001009505,11001009505
10.8,11001009507,11001009507
9.7,11001009508,11001009508
9.9,11001009509,11001009509
16.9,11001009601,11001009601
19.5,11001009602,11001009602
13.7,11001009603,11001009603
11.8,11001009604,11001009604
17.2,11001009700,11001009700
16.6,11001009801,11001009801
18.5,11001009802,11001009802
17.6,11001009803,11001009803
16.5,11001009804,11001009804
14.7,11001009807,11001009807
17.3,11001009810,11001009810
18,11001009811,11001009811
9.4,11001009901,11001009901
12.3,11001009902,11001009902
13.3,11001009903,11001009903
16.5,11001009904,11001009904
15.1,11001009905,11001009905
14.8,11001009906,11001009906
18.1,11001009907,11001009907
7.9,11001010100,11001010100
8.1,11001010200,11001010200
11.9,11001010300,11001010300
14.7,11001010400,11001010400
9.3,11001010500,11001010500
9,11001010600,11001010600
9.2,11001010700,11001010700
15.1,11001010800,11001010800
19.9,11001010900,11001010900
6.9,11001011000,11001011000
12.2,11001011100,11001011100
