GeoBg2010,_NAME_,_LABEL_,births_age_group_1,agegroup_1,agegroup_2,agegroup_3,agegroup_4
,Births_total,Total births,14,,,,
"DC Tract 1, block group 1",Births_total,Total births,17,13,10,219,28
"DC Tract 1, block group 1",Births_total,Total births,17,0,5,14,6
"DC Tract 1, block group 1",Births_total,Total births,17,5,13,89,11
"DC Tract 1, block group 1",Births_total,Total births,17,9,6,94,28
"DC Tract 1, block group 1",Births_total,Total births,17,2,3,47,13
"DC Tract 1, block group 1",Births_total,Total births,17,2,0,12,15
"DC Tract 1, block group 1",Births_total,Total births,17,8,9,73,15
"DC Tract 1, block group 1",Births_total,Total births,17,3,0,22,12
"DC Tract 1, block group 1",Births_total,Total births,17,0,12,26,11
"DC Tract 1, block group 1",Births_total,Total births,17,6,9,71,17
"DC Tract 1, block group 1",Births_total,Total births,17,5,11,91,18
"DC Tract 1, block group 1",Births_total,Total births,17,10,18,88,43
"DC Tract 1, block group 2",Births_total,Total births,15,12,6,380,155
"DC Tract 1, block group 2",Births_total,Total births,15,3,14,185,35
"DC Tract 1, block group 2",Births_total,Total births,15,9,3,71,12
"DC Tract 1, block group 2",Births_total,Total births,15,4,3,41,2
"DC Tract 1, block group 2",Births_total,Total births,15,4,4,37,8
"DC Tract 1, block group 2",Births_total,Total births,15,0,0,0,0
"DC Tract 1, block group 2",Births_total,Total births,15,4,6,57,13
"DC Tract 1, block group 2",Births_total,Total births,15,5,1,30,8
"DC Tract 1, block group 2",Births_total,Total births,15,6,10,67,13
"DC Tract 1, block group 2",Births_total,Total births,15,1,0,37,4
"DC Tract 1, block group 3",Births_total,Total births,10,0,5,21,11
"DC Tract 1, block group 3",Births_total,Total births,10,8,1,105,20
"DC Tract 1, block group 3",Births_total,Total births,10,7,35,143,44
"DC Tract 1, block group 3",Births_total,Total births,10,7,10,52,9
"DC Tract 1, block group 3",Births_total,Total births,10,1,2,35,5
"DC Tract 1, block group 3",Births_total,Total births,10,4,19,45,17
"DC Tract 1, block group 3",Births_total,Total births,10,17,8,70,28
"DC Tract 1, block group 3",Births_total,Total births,10,0,3,33,10
"DC Tract 1, block group 3",Births_total,Total births,10,0,4,25,12
"DC Tract 1, block group 3",Births_total,Total births,10,4,1,25,10
"DC Tract 1, block group 3",Births_total,Total births,10,4,9,49,9
"DC Tract 1, block group 3",Births_total,Total births,10,5,9,52,14
"DC Tract 1, block group 3",Births_total,Total births,10,3,5,51,13
"DC Tract 1, block group 4",Births_total,Total births,19,2,4,36,4
"DC Tract 1, block group 4",Births_total,Total births,19,3,2,41,15
"DC Tract 1, block group 4",Births_total,Total births,19,6,14,53,10
"DC Tract 1, block group 4",Births_total,Total births,19,6,7,47,20
"DC Tract 1, block group 4",Births_total,Total births,19,4,3,41,15
