GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
,0,14,14,11,2,0,1,,,,,
"DC Tract 1, block group 1",0,12,17,16,1,0,0,1.87017E12,63,96,846,217
"DC Tract 1, block group 2",0,10,15,10,0,0,1,1.65015E12,48,47,905,250
"DC Tract 1, block group 3",0,13,10,9,0,0,1,1.1001E12,60,111,706,202
"DC Tract 1, block group 4",0,51,19,17,0,2,1,2.09019E12,45,50,629,169
"DC Tract 2.01, block group 1",0,3,,,,,,,0,9,2891,40
"DC Tract 2.02, block group 1",0,12,9,7,0,0,0,990090018189,54,89,729,209
"DC Tract 2.02, block group 2",0,9,13,12,0,0,0,1.43013E12,41,50,544,114
"DC Tract 2.02, block group 3",0,14,6,2,1,0,0,660060012138,20,31,809,94
"DC Tract 2.02, block group 4",0,35,12,8,1,2,2,1.32012E12,21,15,1790,95
"DC Tract 3, block group 1",0,13,23,17,2,1,0,2.5302301E12,67,48,995,112
"DC Tract 3, block group 2",0,7,20,17,0,2,3,2.2002001E12,34,32,1129,51
"DC Tract 3, block group 3",0,14,24,21,0,2,2,2.6402401E12,94,111,1210,171
"DC Tract 3, block group 4",0,12,19,18,1,1,1,2.0901901E12,110,101,1136,96
"DC Tract 4, block group 1",0,23,3,3,0,0,0,330030012003,26,91,356,121
"DC Tract 4, block group 2",0,31,,,,,,,21,77,425,130
"DC Tract 5.01, block group 1",0,15,11,9,0,1,1,1.2101101E12,48,18,1296,97
"DC Tract 5.01, block group 2",0,6,28,24,1,1,2,3.0802801E12,31,27,1190,146
"DC Tract 5.02, block group 1",0,15,19,15,1,1,1,2.0901901E12,81,168,1128,208
"DC Tract 5.02, block group 2",0,7,8,8,0,0,0,880080040176,32,39,915,149
"DC Tract 6, block group 1",0,6,13,11,0,1,0,1.4301301E12,53,57,708,165
"DC Tract 6, block group 2",0,10,9,6,0,2,2,990090054018,44,107,654,164
"DC Tract 6, block group 3",0,9,2,1,0,0,0,220020012006,13,70,317,93
"DC Tract 6, block group 4",0,22,15,12,1,3,2,1.6501501E12,70,191,897,275
"DC Tract 7.01, block group 1",0,8,14,11,1,0,0,1.5401401E12,30,57,1005,115
