GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4,tractid
,0,14,14,11,2,0,1,,,,,,
"DC Tract 1, block group 1",0,12,17,16,1,0,0,110010001001,63,96,846,217,
"DC Tract 1, block group 2",0,10,15,10,0,0,1,110010001002,48,47,905,250,
"DC Tract 1, block group 3",0,13,10,9,0,0,1,110010001003,60,111,706,202,
"DC Tract 1, block group 4",0,51,19,17,0,2,1,110010001004,45,50,629,169,
"DC Tract 2.01, block group 1",0,3,,,,,,110010002011,0,9,2891,40,
"DC Tract 2.02, block group 1",0,12,9,7,0,0,0,110010002021,54,89,729,209,
"DC Tract 2.02, block group 2",0,9,13,12,0,0,0,110010002022,41,50,544,114,
"DC Tract 2.02, block group 3",0,14,6,2,1,0,0,110010002023,20,31,809,94,
"DC Tract 2.02, block group 4",0,35,12,8,1,2,2,110010002024,21,15,1790,95,
"DC Tract 3, block group 1",0,13,23,17,2,1,0,110010003001,67,48,995,112,
"DC Tract 3, block group 2",0,7,20,17,0,2,3,110010003002,34,32,1129,51,
"DC Tract 3, block group 3",0,14,24,21,0,2,2,110010003003,94,111,1210,171,
"DC Tract 3, block group 4",0,12,19,18,1,1,1,110010003004,110,101,1136,96,
"DC Tract 4, block group 1",0,23,3,3,0,0,0,110010004001,26,91,356,121,
"DC Tract 4, block group 2",0,31,,,,,,110010004002,21,77,425,130,
"DC Tract 5.01, block group 1",0,15,11,9,0,1,1,110010005011,48,18,1296,97,
"DC Tract 5.01, block group 2",0,6,28,24,1,1,2,110010005012,31,27,1190,146,
"DC Tract 5.02, block group 1",0,15,19,15,1,1,1,110010005021,81,168,1128,208,
"DC Tract 5.02, block group 2",0,7,8,8,0,0,0,110010005022,32,39,915,149,
"DC Tract 6, block group 1",0,6,13,11,0,1,0,110010006001,53,57,708,165,
"DC Tract 6, block group 2",0,10,9,6,0,2,2,110010006002,44,107,654,164,
"DC Tract 6, block group 3",0,9,2,1,0,0,0,110010006003,13,70,317,93,
"DC Tract 6, block group 4",0,22,15,12,1,3,2,110010006004,70,191,897,275,
"DC Tract 7.01, block group 1",0,8,14,11,1,0,0,110010007011,30,57,1005,115,
"DC Tract 7.01, block group 2",0,2,21,15,1,2,3,110010007012,6,7,393,119,
"DC Tract 7.01, block group 3",0,4,6,5,0,0,0,110010007013,17,21,481,640,
"DC Tract 7.01, block group 4",0,10,9,8,0,0,1,110010007014,46,78,703,130,
"DC Tract 7.02, block group 1",0,8,25,21,0,2,2,110010007021,33,11,933,111,
"DC Tract 7.02, block group 2",0,1,11,7,2,0,1,110010007022,14,8,667,75,
"DC Tract 7.02, block group 3",0,3,10,8,0,2,2,110010007023,23,20,794,62,
"DC Tract 8.01, block group 1",0,2,19,17,0,2,2,110010008011,71,81,1491,496,
"DC Tract 8.01, block group 2",0,16,9,9,0,0,0,110010008012,56,141,451,193,
"DC Tract 8.01, block group 3",0,36,17,15,1,2,1,110010008013,92,280,996,511,
"DC Tract 8.01, block group 4",0,15,8,7,0,2,2,110010008014,32,86,672,70,
"DC Tract 8.02, block group 1",0,20,22,17,2,1,2,110010008021,71,110,1085,159,
"DC Tract 8.02, block group 2",0,23,15,11,0,0,1,110010008022,57,109,692,107,
"DC Tract 9.01, block group 1",0,18,8,7,0,0,0,110010009011,107,245,707,248,
"DC Tract 9.01, block group 2",0,27,10,10,0,1,0,110010009012,74,266,725,383,
"DC Tract 9.01, block group 3",0,31,15,13,0,1,2,110010009013,52,187,2931,210,
"DC Tract 9.02, block group 1",0,9,8,6,1,2,2,110010009021,46,108,382,134,
"DC Tract 9.02, block group 2",0,40,17,17,0,1,1,110010009022,78,241,705,167,
"DC Tract 10.01, block group 1",0,14,13,13,0,2,3,110010010011,45,82,420,49,
"DC Tract 10.01, block group 2",0,33,20,18,0,3,2,110010010012,106,164,1116,271,
"DC Tract 10.01, block group 3",0,17,6,6,0,0,0,110010010013,48,171,564,143,
"DC Tract 10.01, block group 4",0,29,13,9,2,1,1,110010010014,92,164,1071,172,
"DC Tract 10.01, block group 5",0,17,5,5,0,0,0,110010010015,52,80,424,96,
"DC Tract 10.01, block group 6",0,22,8,7,0,1,1,110010010016,92,149,596,175,
"DC Tract 10.02, block group 1",0,3,8,4,0,1,3,110010010021,5,10,862,92,
"DC Tract 10.02, block group 2",0,8,15,10,2,2,0,110010010022,43,40,1013,88,
"DC Tract 10.02, block group 3",0,8,16,14,0,1,2,110010010023,29,24,519,63,
"DC Tract 11, block group 1",0,24,18,15,0,1,2,110010011001,77,185,931,371,
"DC Tract 11, block group 2",0,29,24,20,1,0,0,110010011002,86,135,865,218,
"DC Tract 11, block group 3",0,10,6,4,1,0,0,110010011003,19,56,357,102,
"DC Tract 11, block group 4",0,31,8,5,1,1,1,110010011004,28,71,405,106,
"DC Tract 12, block group 1",0,16,19,12,1,1,1,110010012001,53,83,1093,209,
"DC Tract 12, block group 2",0,9,12,11,0,1,1,110010012002,46,53,630,103,
"DC Tract 12, block group 3",0,11,16,11,0,1,1,110010012003,34,85,419,85,
"DC Tract 12, block group 4",0,28,12,8,0,0,0,110010012004,82,106,822,170,
"DC Tract 13.01, block group 1",0,20,17,13,1,0,0,110010013011,37,100,943,169,
"DC Tract 13.01, block group 2",0,14,3,2,0,0,0,110010013012,20,72,304,122,
"DC Tract 13.01, block group 3",0,8,18,15,0,2,1,110010013013,23,59,992,206,
"DC Tract 13.02, block group 1",0,2,23,18,0,1,5,110010013021,27,35,1306,418,
"DC Tract 13.02, block group 2",0,12,47,41,1,3,3,110010013022,59,40,2656,329,
"DC Tract 13.02, block group 3",0,12,7,7,0,0,1,110010013023,17,23,602,84,
"DC Tract 14.01, block group 1",0,20,13,11,1,0,1,110010014011,89,199,1022,205,
"DC Tract 14.01, block group 2",0,21,12,9,0,0,0,110010014012,55,206,572,193,
"DC Tract 14.02, block group 1",0,16,13,12,0,1,2,110010014021,67,138,483,104,
"DC Tract 14.02, block group 2",0,8,4,3,0,1,2,110010014022,39,86,330,228,
"DC Tract 14.02, block group 3",0,11,11,8,0,2,2,110010014023,61,62,527,209,
"DC Tract 15, block group 1",0,36,13,8,2,1,2,110010015001,70,172,555,166,
"DC Tract 15, block group 2",0,15,11,10,0,0,0,110010015002,68,169,442,107,
"DC Tract 15, block group 3",0,12,6,6,0,1,0,110010015003,50,112,340,389,
"DC Tract 15, block group 4",0,17,15,12,1,1,1,110010015004,98,229,712,234,
"DC Tract 15, block group 5",0,11,16,12,1,1,1,110010015005,72,228,519,145,
"DC Tract 16, block group 1",0,23,8,5,0,1,1,110010016001,24,40,145,28,
"DC Tract 16, block group 2",0,13,13,10,2,0,2,110010016002,21,22,127,22,
"DC Tract 16, block group 3",0,16,4,2,0,0,0,110010016003,10,20,121,44,
"DC Tract 16, block group 4",0,39,12,9,2,1,1,110010016004,13,46,237,77,
"DC Tract 17.02, block group 1",0,30,26,14,4,3,3,110010017021,34,43,481,47,
