Geo2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,agegroup_1,agegroup_2,agegroup_3,agegroup_4,ChildrenPovertyDefined_2012_16,PopPoorChildren_2012_16,stanc,tractid
DC Tract 1,0,1,61,52,1,2,3,216,304,3086,838,806,0,,11001000100
DC Tract 2.01,0,1,,,,,,0,9,2891,40,0,0,,11001000201
DC Tract 2.02,0,1,40,29,2,2,2,136,185,3872,512,373,12,,11001000202
DC Tract 3,0,1,86,73,3,6,6,305,292,4470,430,786,20,,11001000300
DC Tract 4,0,1,3,3,0,0,0,47,168,781,251,299,25,,11001000400
DC Tract 5.01,0,1,39,33,1,2,3,79,45,2486,243,373,65,,11001000501
DC Tract 5.02,0,1,27,23,1,1,1,113,207,2043,357,392,0,,11001000502
DC Tract 6,0,1,39,30,1,6,4,180,425,2576,697,767,40,,11001000600
DC Tract 7.01,0,1,50,39,2,2,4,99,163,2582,1004,467,41,,11001000701
DC Tract 7.02,0,1,46,36,2,4,5,70,39,2394,248,254,0,,11001000702
DC Tract 8.01,0,1,53,48,1,6,5,251,588,3610,1270,1119,32,,11001000801
DC Tract 8.02,0,1,37,28,2,1,3,128,219,1777,266,560,31,,11001000802
DC Tract 9.01,0,1,33,30,0,2,2,233,698,4363,841,1120,44,,11001000901
DC Tract 9.02,0,1,25,23,1,3,3,124,349,1087,301,695,6,,11001000902
DC Tract 10.01,0,1,65,58,2,7,7,435,810,4191,906,1992,0,,11001001001
DC Tract 10.02,0,1,39,28,2,4,5,77,74,2394,243,438,0,,11001001002
DC Tract 11,0,1,56,44,3,2,3,210,447,2558,797,1011,0,,11001001100
DC Tract 12,0,1,59,42,1,3,3,215,327,2964,567,848,0,,11001001200
DC Tract 13.01,0,1,38,30,1,2,1,80,231,2239,497,519,29,,11001001301
DC Tract 13.02,0,1,77,66,1,4,9,103,98,4564,831,473,27,,11001001302
DC Tract 14.01,0,1,25,20,1,0,1,144,405,1594,398,786,8,,11001001401
DC Tract 14.02,0,1,28,23,0,4,6,167,286,1340,541,688,0,,11001001402
DC Tract 15,0,1,61,48,4,4,4,358,910,2568,1041,1849,49,,11001001500
DC Tract 16,0,1,37,26,4,2,4,68,128,630,171,947,9,,11001001600
DC Tract 17.02,0,1,45,29,4,4,5,66,66,821,67,444,12,,11001001702
DC Tract 18.03,0,1,111,41,26,7,9,33,44,244,33,978,179,,11001001803
DC Tract 18.04,0,1,152,69,20,10,14,57,91,371,30,1285,389,,11001001804
DC Tract 19.01,0,1,93,56,13,13,13,47,35,314,28,845,153,,11001001901
DC Tract 19.02,0,1,48,29,5,3,4,15,21,184,17,362,88,,11001001902
DC Tract 20.01,0,1,63,29,9,3,5,45,50,439,64,585,35,,11001002001
DC Tract 20.02,0,1,96,53,14,11,6,71,83,574,50,854,195,,11001002002
DC Tract 21.01,0,1,139,64,16,8,12,53,86,512,24,1214,78,,11001002101
