Nlihc_id,Status,Proj_Name,Proj_Units_Tot,Proj_Units_Assist_Max,Geo2010,Proj_addre,Proj_x,Proj_y,Units_Assist,Subsidy_Active,Program
NL000006,Active,1728 W St SE,15,15,DC Tract 75.04,1728 W Street SE,401769.82,132788.41,,Yes,McKinney Vento Act loan
NL000006,Active,1728 W St SE,15,15,DC Tract 75.04,1728 W Street SE,401769.82,132788.41,15,Yes,Low income housing tax credit 9%
NL000060,Active,Carver Hall Apts,94,94,DC Tract 75.04,2338 Pitts Place SE,401285.01,132447.9,95,Yes,Sec 8 substantial rehabilitation
NL000060,Active,Carver Hall Apts,94,94,DC Tract 75.04,2338 Pitts Place SE,401285.01,132447.9,95,Yes,Sec 223(a)(7)/221(d)(4) MKT Refi/Moderate Income
NL000097,Active,Elvans Road,20,20,DC Tract 74.06,2440 Elvans Road SE; 2442 Elvans Road SE; 2444 Elvans Road SE; others,401035.821,131770.298,20,Yes,Public housing
NL000126,Active,Galen Terrace,84,84,DC Tract 75.04,1641 W Street SE; 1645 W Street SE; 1649 W Street SE,401629.89,132789.6,83,Yes,Low income housing tax credit 4%
NL000126,Active,Galen Terrace,84,84,DC Tract 75.04,1641 W Street SE; 1645 W Street SE; 1649 W Street SE,401629.89,132789.6,84,Yes,Sec 8 property disposition moderate rehabilitation
NL000126,Active,Galen Terrace,84,84,DC Tract 75.04,1641 W Street SE; 1645 W Street SE; 1649 W Street SE,401629.89,132789.6,84,Yes,Tax exempt bond
NL000126,Active,Galen Terrace,84,84,DC Tract 75.04,1641 W Street SE; 1645 W Street SE; 1649 W Street SE,401629.89,132789.6,84,Yes,Community development block grant
NL000127,Active,Garfield Hills Apts (Garfield Park),94,94,DC Tract 74.08,2301 Hartford Street SE; 2301 Irving Street SE; 2303 Hartford Street SE; others,402419.9728,131755.6088,94,Yes,Tax exempt bond
NL000127,Active,Garfield Hills Apts (Garfield Park),94,94,DC Tract 74.08,2301 Hartford Street SE; 2301 Irving Street SE; 2303 Hartford Street SE; others,402419.9728,131755.6088,93,Yes,Sec 8 housing finance agency substantial rehabilitation
NL000127,Active,Garfield Hills Apts (Garfield Park),94,94,DC Tract 74.08,2301 Hartford Street SE; 2301 Irving Street SE; 2303 Hartford Street SE; others,402419.9728,131755.6088,94,Yes,Sec 542(b) QPE Risk Sharing-Existing
NL000127,Active,Garfield Hills Apts (Garfield Park),94,94,DC Tract 74.08,2301 Hartford Street SE; 2301 Irving Street SE; 2303 Hartford Street SE; others,402419.9728,131755.6088,94,Yes,Low income housing tax credit 4%
NL000128,Active,Maplewood Court,94,94,DC Tract 74.08,2300 Hartford Street SE; 2302 Hartford Street SE; 2304 Hartford Street SE; others,402385.13857,131899.66286,94,Yes,Low income housing tax credit 4%
NL000139,Active,Good Hope House,8,8,DC Tract 75.04,1715 V Street SE,401796.06,132892.59,8,Yes,HOME
NL000140,Active,Graceview Apts,38,38,DC Tract 75.04,2310 16th Street SE,401518.41,132697.89,38,Yes,Community development block grant
NL000163,Active,Howard Hill Apts,43,43,DC Tract 74.07,1341 Howard Road SE; 1345 Howard Road SE; 1349 Howard Road SE; others,400721.6325,132458.8725,45,Yes,HOME
NL000163,Active,Howard Hill Apts,43,43,DC Tract 74.07,1341 Howard Road SE; 1345 Howard Road SE; 1349 Howard Road SE; others,400721.6325,132458.8725,43,Yes,Low income housing tax credit 9%
NL000163,Active,Howard Hill Apts,43,43,DC Tract 74.07,1341 Howard Road SE; 1345 Howard Road SE; 1349 Howard Road SE; others,400721.6325,132458.8725,43,Yes,DC housing production trust fund
NL000188,Active,Knox Hill Senior,122,122,DC Tract 75.02,2700 Jasper Street SE,402672.65,131606.43,122,Yes,Public housing
